area_name,area_id,ELP
Budapest,HU110,351992
Pest,HU120,217811
Fejér,HU211,77731
Komárom-Esztergom,HU212,55474
Veszprém,HU213,68110
Győr-Moson-Sopron,HU221,82542
Vas,HU222,49684
Zala,HU223,57318
Baranya,HU231,73240
Somogy,HU232,62807
Tolna,HU233,44576
Borsod-Abaúj-Zemplén,HU311,117354
Heves,HU312,60129
Nógrád,HU313,38751
Hajdú-Bihar,HU321,94160
Jász-Nagykun-Szolnok,HU322,73114
Szabolcs-Szatmár-Bereg,HU323,88387
Bács-Kiskun,HU331,99686
Békés,HU332,71582
Csongrád-Csanád,HU333,81016
