area_name,area_id,ELP
Hlavní město Praha,CZ010,251166
Středočeský kraj,CZ020,255825
Jihočeský kraj,CZ031,131832
Plzeňský kraj,CZ032,119690
Karlovarský kraj,CZ041,60178
Ústecký kraj,CZ042,161527
Liberecký kraj,CZ051,89906
Královéhradecký kraj,CZ052,119407
Pardubický kraj,CZ053,106085
Kraj Vysočina,CZ063,104291
Jihomoravský kraj,CZ064,238620
Olomoucký kraj,CZ071,130935
Zlínský kraj,CZ072,121339
Moravskoslezský kraj,CZ080,240829
